,0
Misc,676
United States of America,580
United Kingdom of Great Britain and Northern Ireland,177
Ireland,98
Netherlands,57
Canada,44
Belgium,34
Australia,28
Brazil,27
Italy,25
Norway,22
Japan,19
China,18
Germany,16
Hungary,14
Argentina,11
France,11
New Zealand,9
Spain,9
Portugal,7
Sweden,6
Egypt,6
Kenya,6
Croatia,4
India,4
Poland,4
Cameroon,3
Iraq,3
Malaysia,3
Greece,3
Turkey,3
South Africa,3
Nigeria,3
Austria,3
Switzerland,3
Afghanistan,2
Peru,2
Chile,2
Ghana,2
Mexico,2
Ukraine,2
Romania,2
Philippines,2
Brunei Darussalam,1
Russian Federation,1
Cyprus,1
Serbia,1
Cä¹ˆte d'Ivoire,1
Rwanda,1
Haiti,1
Slovakia,1
El Salvador,1
South Korea,1
Bulgaria,1
Slovenia,1
Saudi Arabia,1
Iran,1
Czech Republic,1
Botswana,1
Thailand,1
Malta,1
Kuwait,1
Albania,1
Finland,1
Denmark,1
Israel,1
Dominican Republic,1
